"CUADRO 1.2 COSTA RICA: JUNTAS, ELECTORADO, PARTICIPACIÓN, VOTOS POR PARTIDO, NULOS, BLANCOS Y ABSTENCIONISMO PARA PRESIDENCIA
Y VICEPRESIDENCIAS DE LA REPÚBLICA, SEGÚN  PROVINCIA Y CANTÓN
 ELECCIONES 7 DE FEBRERO 2010",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
PROVINCIA Y CANTÓN,JUNTAS,ELECTORADO,VOTOS RECIBIDOS,,,,,,,,,,,,,,ABSTENCIONISMO,
,,,TOTAL GENERAL,"%
PARTICIPACIÓN",VOTOS VÁLIDOS,,,,,,,,,,NULOS,BLANCOS,ABSOLUTO,%
,,,,,TOTAL,UNIDAD SOCIAL CRISTIANA,INTEGRACIÓN NACIONAL,"ALIANZA
PATRIÓTICA",RENOVACIÓN COSTARRICENSE,FRENTE AMPLIO,LIBERACIÓN NACIONAL,MOVIMIENTO LIBERTARIO,"ACCIÓN
CIUDADANA",ACCESIBILIDAD SIN EXCLUSIÓN,,,,
,,,,,,,,,,,,,,,,,,
ABANGARES,37,11481,7808,68.00801324,7537,396,8,45,68,51,3560,2156,1187,66,227,44,3673,31.99198676
TILARÁN,39,13144,9504,72.30675593,9261,336,8,24,114,18,4264,2396,2015,86,203,40,3640,27.69324407
NANDAYURE,29,7390,5343,72.30040595,5183,190,4,21,42,7,3133,947,807,32,123,37,2047,27.69959405
LA CRUZ,28,9025,5748,63.68975069,5596,354,6,5,102,11,2839,1699,556,24,128,24,3277,36.31024931
HOJANCHA,18,4935,3703,75.03546099,3606,136,2,15,34,3,2118,684,588,26,68,29,1232,24.96453901
,,,,,,,,,,,,,,,,,,
PROVINCIA PUNTARENAS,702,259408,154540,59.5741072,150167,6676,134,303,1131,519,73431,40078,26014,1881,3568,805,104868,40.4258928
,,,,,,,,,,,,,,,,,,
PUNTARENAS,200,76163,46464,61.00600029,45328,2816,42,73,299,190,21882,12851,6537,638,954,182,29699,38.99399971
ESPARZA,47,18283,12688,69.39780124,12473,636,14,13,53,19,6173,3181,2216,168,193,22,5595,30.60219876
BUENOS AIRES,77,26649,15518,58.23107809,15039,355,15,37,91,61,7347,3239,3691,203,383,96,11131,41.76892191
MONTES DE ORO,25,8556,5779,67.54324451,5636,234,6,13,22,13,2582,1327,1369,70,114,29,2777,32.45675549
OSA,54,18252,10796,59.14968223,10436,393,11,27,110,37,5169,3209,1345,135,278,82,7456,40.85031777
AGUIRRE,44,16283,9529,58.52115703,9298,467,9,21,124,28,4809,2410,1290,140,188,43,6754,41.47884297
GOLFITO,65,24375,13231,54.28102564,12800,401,10,27,69,43,6213,3664,2242,131,334,97,11144,45.71897436
COTO BRUS,72,25753,14592,56.66135984,14096,374,11,32,54,42,6958,3394,3068,163,395,101,11161,43.33864016
PARRITA,32,9503,6134,64.54803746,5942,235,6,12,112,9,3214,1849,463,42,153,39,3369,35.45196254
CORREDORES,66,27134,14714,54.22716887,14143,463,8,40,183,65,6257,3706,3260,161,479,92,12420,45.77283113
GARABITO,20,8457,5095,60.2459501,4976,302,2,8,14,12,2827,1248,533,30,97,22,3362,39.7540499
,,,,,,,,,,,,,,,,,,
PROVINCIA LIMÓN,531,224128,137721,61.44747644,132794,6640,168,345,2523,682,55214,41733,23221,2268,4045,882,86407,38.55252356
,,,,,,,,,,,,,,,,,,
LIMÓN,142,61180,35348,57.77705132,34179,1838,58,80,520,125,14045,9908,6889,716,932,237,25832,42.22294868
POCOCÍ,170,73072,47140,64.51171447,45630,1472,50,92,820,239,17254,16400,8475,828,1291,219,25932,35.48828553
SIQUIRRES,84,33841,20308,60.01004698,19570,1062,16,40,379,172,9717,5351,2511,322,631,107,13533,39.98995302
TALAMANCA,38,15029,8900,59.21884357,8492,988,14,23,125,40,3473,1775,1998,56,292,116,6129,40.78115643
MATINA,44,17995,11559,64.23450959,11028,806,14,69,457,43,4851,3417,1266,105,414,117,6436,35.76549041
GUÁCIMO,53,23011,14466,62.86558602,13895,474,16,41,222,63,5874,4882,2082,241,485,86,8545,37.13441398
